Countries and areas,Population (thousands) 2021_Total,Population (thousands) 2021_Under 18,Population (thousands) 2021_Under 5,Annual population growth rate_2000–2020,Annual population growth rate_2020–2030 (A),Annual number of births (thousands),Total fertility (live births per woman)_2021,Life expectancy at birth_1970,Life expectancy at birth_2000,Life expectancy at birth_2021,Total dependency ratio_2021,Child dependency ratio_2021,Old age dependency ratio_2021,Share of urban population 2021(%),Annual growth rate of urban population_2000-2020,Annual growth rate of urban population_2020-2030 (A),"Net migration rate (per 1,000 population)"
Afghanistan,"40,099","20,298","6,491",3.3,2.3,"1,441",4.6,37,55,62,85,80,4,26,4.1,3.5,-4.60
Albania,"2,855",574,141,-0.5,-0.2,29,1.4,65,75,76,48,24,24,63,1.4,0.8,-3.7
Algeria,"44,178","15,526","4,871",1.6,1.2,951,2.9,43,70,76,58,49,10,74,2.6,1.8,-0.4
Andorra,79,13,3,0.8,0.4,1,1.1,74,81,80,38,18,20,88,0.5,0.4,17.6
Angola,"34,504","17,833","5,983",3.4,2.7,"1,339",5.3,40,46,62,91,87,5,67,4.8,3.4,0.8
Anguilla,16,3,1,1.6,0.3,0,1.3,65,76,77,39,24,14,100,1.6,0.3,7.1
Antigua and Barbuda,93,21,5,1,0.5,1,1.6,70,75,78,41,27,14,24,-0.3,0.6,0
Argentina,"45,277","12,669","3,333",0.9,0.5,629,1.9,66,74,75,54,36,18,92,1.1,0.6,0.1
Armenia,"2,791",669,183,-0.6,-0.2,34,1.6,64,71,72,50,31,19,63,-0.7,0.2,-4.6
Australia,"25,921","5,667","1,537",1.4,0.9,298,1.6,71,80,85,54,28,25,86,1.5,1,4.6
Austria,"8,922","1,542",431,0.5,0.1,85,1.5,70,78,82,51,22,29,59,0.4,0.6,2.3
Azerbaijan,"10,313","2,896",705,1.1,0.4,127,1.7,59,65,69,44,34,10,57,1.5,1,0.1
Bahamas,408,100,23,1.1,0.5,5,1.4,66,72,72,39,27,12,83,1.1,0.7,1.2
Bahrain,"1,463",348,98,3.5,0.6,18,1.8,64,75,79,31,27,5,90,3.5,0.7,-6.2
Bangladesh,"169,356","54,801","14,663",1.2,0.9,"3,020",2,43,66,72,48,39,9,39,3.5,2.5,-1
Barbados,281,59,15,0.3,0.1,3,1.6,68,74,78,49,26,23,31,-0.1,0.5,-0.1
Belarus,"9,578","1,901",474,-0.3,-0.4,89,1.5,71,69,72,51,25,25,80,0.3,0,1.4
Belgium,"11,611","2,329",599,0.6,0.2,116,1.6,71,78,82,57,26,30,98,0.6,0.3,4.5
Belize,400,136,37,2.4,1.2,7,2,63,69,70,50,42,7,46,2.4,1.7,1.4
Benin,"12,997","6,376","2,137",2.8,2.4,476,5,42,57,60,84,78,6,49,3.9,3.4,0.1
Bhutan,777,220,51,1.3,0.6,10,1.4,40,62,72,41,32,9,43,3.7,1.8,0.4
Bolivia (Plurinational State of),"12,079","4,470","1,272",1.6,1.2,264,2.6,47,62,64,56,49,8,70,2.2,1.7,-0.4
Bosnia and Herzegovina,"3,271",588,154,-1.1,-0.6,28,1.3,67,74,75,49,22,27,49,-0.4,0.2,-7.9
Botswana,"2,588","1,000",297,1.8,1.4,61,2.8,55,51,61,57,52,6,72,3.2,2.1,0.7
Brazil,"214,326","53,465","14,241",0.9,0.4,"2,761",1.6,57,70,73,43,29,14,87,1.2,0.7,0.1
British Virgin Islands,31,6,1,2,0.6,0,1,67,74,74,33,20,13,49,2.8,1.4,4.1
Brunei Darussalam,445,119,32,1.3,0.6,6,1.8,64,74,75,39,31,8,79,1.8,1,-0.4
Bulgaria,"6,886","1,156",306,-0.7,-0.9,58,1.6,71,72,72,57,22,35,76,-0.3,-0.6,-1.3
Burkina Faso,"22,101","11,244","3,568",2.8,2.2,786,4.8,39,51,59,87,83,5,31,5.4,4,-0.6
Burundi,"12,551","6,655","2,054",3.1,2.3,438,5.1,43,48,62,95,90,5,14,5.6,4.6,-1.1
